ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO TOTAL DE CLIENTES O USUARIOS
2025|A1|29037|01  |1|157|157|7|00000000006131023|2
2025|A1|29037|01  |1|157|157|7|00000000008524010|1
2025|A1|29037|01  |1|157|157|7|00000000008944098|1
2025|A1|29037|01  |1|157|157|7|00000000008991011|1
2025|A1|29037|01  |1|157|157|7|00000000009115016|1
2025|A1|29037|01  |1|157|157|7|00000000009212010|1
2025|A1|29037|01  |1|157|157|7|00000000009231028|1
2025|A1|29037|01  |1|157|157|7|00000000009411034|1
2025|A1|29037|01  |1|157|157|7|00000000009506009|2
2025|A1|29037|01  |1|157|157|19|00000000000100008|3
2025|A1|29037|01  |1|157|157|19|00000000000111021|1
2025|A1|29037|01  |1|157|157|19|00000000000111097|1
2025|A1|29037|01  |1|157|157|19|00000000000111104|2
2025|A1|29037|01  |1|157|157|19|00000000000112029|1
2025|A1|29037|01  |1|157|157|19|00000000000112079|1
2025|A1|29037|01  |1|157|157|19|00000000000112136|1
2025|A1|29037|01  |1|157|157|19|00000000000124040|1
2025|A1|29037|01  |1|157|157|19|00000000000149014|2
2025|A1|29037|01  |1|157|157|19|00000000000149907|1
2025|A1|29037|01  |1|157|157|19|00000000000191023|1
2025|A1|29037|01  |1|157|157|19|00000000000214015|1
2025|A1|29037|01  |1|157|157|19|00000000000221010|1
2025|A1|29037|01  |1|157|157|19|00000000000311019|1
2025|A1|29037|01  |1|157|157|19|00000000000329012|1
2025|A1|29037|01  |1|157|157|19|00000000000391011|1
2025|A1|29037|01  |1|157|157|19|00000000000459025|1
2025|A1|29037|01  |1|157|157|19|00000000001100007|1
2025|A1|29037|01  |1|157|157|19|00000000001211028|1
2025|A1|29037|01  |1|157|157|19|00000000001221019|1
2025|A1|29037|01  |1|157|157|19|00000000001411016|1
2025|A1|29037|01  |1|157|157|19|00000000001412014|1
2025|A1|29037|01  |1|157|157|19|00000000001419010|1
2025|A1|29037|01  |1|157|157|19|00000000002000008|26
2025|A1|29037|01  |1|157|157|19|00000000002012029|2
2025|A1|29037|01  |1|157|157|19|00000000002014017|1
2025|A1|29037|01  |1|157|157|19|00000000002022010|1
2025|A1|29037|01  |1|157|157|19|00000000002049014|2
2025|A1|29037|01  |1|157|157|19|00000000002049030|1
2025|A1|29037|01  |1|157|157|19|00000000002059013|1
2025|A1|29037|01  |1|157|157|19|00000000002061026|1
2025|A1|29037|01  |1|157|157|19|00000000002071017|13
2025|A1|29037|01  |1|157|157|19|00000000002072023|2
2025|A1|29037|01  |1|157|157|19|00000000002081016|1
2025|A1|29037|01  |1|157|157|19|00000000002082014|1
2025|A1|29037|01  |1|157|157|19|00000000002093011|8
2025|A1|29037|01  |1|157|157|19|00000000002094019|3
2025|A1|29037|01  |1|157|157|19|00000000002094027|3
2025|A1|29037|01  |1|157|157|19|00000000002097013|2
2025|A1|29037|01  |1|157|157|19|00000000002099019|1
2025|A1|29037|01  |1|157|157|19|00000000002099043|9
2025|A1|29037|01  |1|157|157|19|00000000002099051|1
2025|A1|29037|01  |1|157|157|19|00000000002122018|1
2025|A1|29037|01  |1|157|157|19|00000000002131027|1
2025|A1|29037|01  |1|157|157|19|00000000002131035|1
2025|A1|29037|01  |1|157|157|19|00000000002131043|2
2025|A1|29037|01  |1|157|157|19|00000000002300002|2
2025|A1|29037|01  |1|157|157|19|00000000002312015|1
2025|A1|29037|01  |1|157|157|19|00000000002312023|2
2025|A1|29037|01  |1|157|157|19|00000000002319011|2
2025|A1|29037|01  |1|157|157|19|00000000002400000|8
2025|A1|29037|01  |1|157|157|19|00000000002411015|1
2025|A1|29037|01  |1|157|157|19|00000000002411023|5
2025|A1|29037|01  |1|157|157|19|00000000002412013|2
2025|A1|29037|01  |1|157|157|19|00000000002412039|7
2025|A1|29037|01  |1|157|157|19|00000000002413011|1
2025|A1|29037|01  |1|157|157|19|00000000002419019|1
2025|A1|29037|01  |1|157|157|19|00000000002419069|2
2025|A1|29037|01  |1|157|157|19|00000000002434017|1
2025|A1|29037|01  |1|157|157|19|00000000002529016|1
2025|A1|29037|01  |1|157|157|19|00000000002529082|1
2025|A1|29037|01  |1|157|157|19|00000000002600006|1
2025|A1|29037|01  |1|157|157|19|00000000002612019|1
2025|A1|29037|01  |1|157|157|19|00000000002633023|1
2025|A1|29037|01  |1|157|157|19|00000000002639039|2
2025|A1|29037|01  |1|157|157|19|00000000002700004|1
2025|A1|29037|01  |1|157|157|19|00000000002711019|6
2025|A1|29037|01  |1|157|157|19|00000000002719013|3
2025|A1|29037|01  |1|157|157|19|00000000002800002|2
2025|A1|29037|01  |1|157|157|19|00000000002812015|1
2025|A1|29037|01  |1|157|157|19|00000000002829010|4
2025|A1|29037|01  |1|157|157|19|00000000002921048|2
2025|A1|29037|01  |1|157|157|19|00000000002921056|6
2025|A1|29037|01  |1|157|157|19|00000000002921072|1
2025|A1|29037|01  |1|157|157|19|00000000003000007|1
2025|A1|29037|01  |1|157|157|19|00000000003013018|2
2025|A1|29037|01  |1|157|157|19|00000000003013026|3
2025|A1|29037|01  |1|157|157|19|00000000003021011|2
2025|A1|29037|01  |1|157|157|19|00000000003032018|1
2025|A1|29037|01  |1|157|157|19|00000000003041019|2
2025|A1|29037|01  |1|157|157|19|00000000003051026|6
2025|A1|29037|01  |1|157|157|19|00000000003061025|1
2025|A1|29037|01  |1|157|157|19|00000000003062015|3
2025|A1|29037|01  |1|157|157|19|00000000003092012|1
2025|A1|29037|01  |1|157|157|19|00000000003092020|1
2025|A1|29037|01  |1|157|157|19|00000000003099042|2
2025|A1|29037|01  |1|157|157|19|00000000003111010|1
2025|A1|29037|01  |1|157|157|19|00000000003113016|4
2025|A1|29037|01  |1|157|157|19|00000000003200003|3
2025|A1|29037|01  |1|157|157|19|00000000003212024|8
2025|A1|29037|01  |1|157|157|19|00000000003219038|1
