ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO UTILIZADO|TIPO CLIENTE O USUARIO|ACTIVIDAD ECONOMICA|TIPO MONEDA|TIPO DE INSTRUMENTO MONETARIO|OPERACION DE ENTRADA-SALIDA|NUMERO DE OPERACIONES|MONTO DE LAS OPERACIONES
2025|B|12345|1|01|111039|1|1|1|1|0
2025|B|12345|1|01|111047|1|1|1|20|4131
2025|B|12345|1|01|111063|1|1|1|140|50780
2025|B|12345|1|01|111089|1|1|1|30|51359
2025|B|12345|1|05|111089|1|1|1|11|7238
2025|B|12345|1|01|111104|1|1|1|10|3308
2025|B|12345|1|01|112045|1|1|1|11|1705
2025|B|12345|1|01|112053|1|1|1|9|55
2025|B|12345|1|01|112128|1|1|1|15|3105
2025|B|12345|1|01|113019|1|1|1|6|5950
2025|B|12345|1|01|121012|1|1|1|5|3150
2025|B|12345|1|01|124040|1|1|1|99|17818
2025|B|12345|1|01|129024|1|1|1|3|18056
2025|B|12345|1|01|129032|1|1|1|1|5000
2025|B|12345|1|01|131011|1|1|1|21|20521
2025|B|12345|1|01|142084|1|1|1|4|346
2025|B|12345|1|01|149014|1|1|1|34|147282
2025|B|12345|1|01|149907|1|1|1|35|109434
2025|B|12345|1|01|191015|1|1|1|18|377
2025|B|12345|1|01|211011|1|1|1|107|29848
2025|B|12345|1|01|212019|1|1|1|52|40414
2025|B|12345|1|01|214015|1|1|1|11|50981
2025|B|12345|1|01|219015|1|1|1|46|63239
2025|B|12345|1|01|219908|1|1|1|10|14100
2025|B|12345|1|01|221010|1|1|1|3|40000
2025|B|12345|1|01|222018|1|1|1|24|2456
2025|B|12345|1|01|223016|1|1|1|5|3200
2025|B|12345|1|01|231019|1|1|1|8|29
2025|B|12345|1|01|232017|1|1|1|15|106
2025|B|12345|1|01|259011|1|1|1|21|2774
2025|B|12345|1|01|311019|1|1|1|44|167867
2025|B|12345|1|01|313015|1|1|1|65|11972
2025|B|12345|1|01|329905|1|1|1|1|7
2025|B|12345|1|01|1111012|1|1|1|171|118229
2025|B|12345|1|01|1211028|1|1|1|21|2839
2025|B|12345|1|01|1311018|1|1|1|12|1606
2025|B|12345|1|01|1329904|1|1|1|23|3011
2025|B|12345|1|01|1413012|1|1|1|1|1
2025|B|12345|1|01|1419010|1|1|1|2|42
2025|B|12345|1|01|2012011|1|1|1|9|665
2025|B|12345|1|15|2012011|1|1|1|8|5007
2025|B|12345|1|01|2012029|1|1|1|6|70
2025|B|12345|1|01|2012037|1|1|1|1|1
2025|B|12345|1|01|2029024|1|1|1|16|1678
2025|B|12345|1|01|2029032|1|1|1|3|65
2025|B|12345|1|01|2041010|1|1|1|2|21
2025|B|12345|1|01|2049014|1|1|1|33|40195
2025|B|12345|1|01|2049022|1|1|1|8|801
2025|B|12345|1|01|2049030|1|1|1|2|54
2025|B|12345|1|01|2051019|1|1|1|1|200
2025|B|12345|1|01|2051027|1|1|1|41|684
2025|B|12345|1|01|2052017|1|1|1|3|21
2025|B|12345|1|01|2071017|1|1|1|99|59004
2025|B|12345|1|01|2072023|1|1|1|4|3085
2025|B|12345|1|01|2082014|1|1|1|5|13700
2025|B|12345|1|01|2092021|1|1|1|18|394
2025|B|12345|1|01|2093011|1|1|1|151|23738
2025|B|12345|1|05|2093011|1|1|1|6|15519
2025|B|12345|1|01|2094019|1|1|1|2|4
2025|B|12345|1|01|2094027|1|1|1|36|3379
2025|B|12345|1|01|2097013|1|1|1|61|18629
2025|B|12345|1|01|2099043|1|1|1|77|22404
2025|B|12345|1|01|2111011|1|1|1|13|3700
2025|B|12345|1|01|2114023|1|1|1|6|2811
2025|B|12345|1|01|2122018|1|1|1|24|12349
2025|B|12345|1|01|2131027|1|1|1|31|2446
2025|B|12345|1|01|2131043|1|1|1|14|14064
2025|B|12345|1|01|2313039|1|1|1|6|44
2025|B|12345|1|01|2392025|1|1|1|5|254
2025|B|12345|1|01|2394021|1|1|1|9|8100
2025|B|12345|1|01|2411015|1|1|1|27|4735
2025|B|12345|1|01|2411023|1|1|1|33|48159
2025|B|12345|1|01|2412013|1|1|1|29|111
2025|B|12345|1|01|2412039|1|1|1|4|1900
2025|B|12345|1|01|2415017|1|1|1|59|56308
2025|B|12345|1|01|2419069|1|1|1|17|342
2025|B|12345|1|01|2432011|1|1|1|661|417545
2025|B|12345|1|01|2519017|1|1|1|50|2285
2025|B|12345|1|01|2612019|1|1|1|11|273
2025|B|12345|1|15|2612019|1|1|1|2|71
2025|B|12345|1|01|2621010|1|1|1|20|800
2025|B|12345|1|01|2633015|1|1|1|7|155
2025|B|12345|1|05|2639013|1|1|1|6|257
2025|B|12345|1|01|2639039|1|1|1|30|2163
2025|B|12345|1|01|2711019|1|1|1|34|5916
