anio;clave_formulario;clave_entidad;producto_servicio;tipo_moneda;tipo_instrumento_monetario;operac_entr_salida;numero_operaciones;monto_operaciones
2025;B;12345;1;1;1;1;17093;12062045
2025;B;12345;1;1;1;2;3109;10665399
2025;B;12345;1;1;2;1;27;1813318
2025;B;12345;1;1;2;2;115;7333918
2025;B;12345;1;1;6;1;4236;5272393
2025;B;12345;2;1;1;1;11658;14483809
2025;B;12345;2;1;2;1;3;5000
2025;B;12345;2;1;2;2;2;17139
2025;B;12345;2;1;6;1;1258;1579368
2025;B;12345;3;1;1;1;34772;96796698
2025;B;12345;3;1;1;2;11096;49665788
2025;B;12345;3;1;2;1;493;20899195
2025;B;12345;3;1;2;2;895;57936644
2025;B;12345;3;1;6;1;5441;33748871
2025;B;12345;6;1;1;1;16;38883
2025;B;12345;6;1;1;2;1;3000
2025;B;12345;6;1;2;2;4;143482
2025;B;12345;6;1;6;1;1;57
2025;B;12345;10;1;1;1;36023;84082716
2025;B;12345;10;1;2;1;1;4049
2025;B;12345;10;1;2;2;1067;122001000
2025;B;12345;10;1;6;1;13013;35694263
