ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO TOTAL DE CLIENTES O USUARIOS
2025|A1|12345|01  |1|157|157|5|00000000000111013|3
2025|A1|12345|01  |1|157|157|5|00000000000111039|3
2025|A1|12345|01  |1|157|157|5|00000000000111047|5
2025|A1|12345|01  |1|157|157|5|00000000000111063|33
2025|A1|12345|01  |1|157|157|5|00000000000111089|5
2025|A1|12345|01  |1|157|157|5|00000000000111104|9
2025|A1|12345|01  |1|157|157|5|00000000000112045|2
2025|A1|12345|01  |1|157|157|5|00000000000112053|1
2025|A1|12345|01  |1|157|157|5|00000000000112128|4
2025|A1|12345|01  |1|157|157|5|00000000000113019|2
2025|A1|12345|01  |1|157|157|5|00000000000121012|2
2025|A1|12345|01  |1|157|157|5|00000000000124040|23
2025|A1|12345|01  |1|157|157|5|00000000000129016|2
2025|A1|12345|01  |1|157|157|5|00000000000129024|4
2025|A1|12345|01  |1|157|157|5|00000000000129032|3
2025|A1|12345|01  |1|157|157|5|00000000000131011|4
2025|A1|12345|01  |1|157|157|5|00000000000142084|4
2025|A1|12345|01  |1|157|157|5|00000000000149014|6
2025|A1|12345|01  |1|157|157|5|00000000000149907|13
2025|A1|12345|01  |1|157|157|5|00000000000149915|1
2025|A1|12345|01  |1|157|157|5|00000000000191015|1
2025|A1|12345|01  |1|157|157|5|00000000000191023|3
2025|A1|12345|01  |1|157|157|5|00000000000211011|34
2025|A1|12345|01  |1|157|157|5|00000000000212019|13
2025|A1|12345|01  |1|157|157|5|00000000000213017|1
2025|A1|12345|01  |1|157|157|5|00000000000214015|3
2025|A1|12345|01  |1|157|157|5|00000000000219015|12
2025|A1|12345|01  |1|157|157|5|00000000000219908|5
2025|A1|12345|01  |1|157|157|5|00000000000221010|3
2025|A1|12345|01  |1|157|157|5|00000000000222018|4
2025|A1|12345|01  |1|157|157|5|00000000000223016|5
2025|A1|12345|01  |1|157|157|5|00000000000231019|1
2025|A1|12345|01  |1|157|157|5|00000000000232017|4
2025|A1|12345|01  |1|157|157|5|00000000000259011|7
2025|A1|12345|01  |1|157|157|5|00000000000311019|6
2025|A1|12345|01  |1|157|157|5|00000000000313015|33
2025|A1|12345|01  |1|157|157|5|00000000000329905|1
2025|A1|12345|01  |1|157|157|5|00000000000391011|1
2025|A1|12345|01  |1|157|157|5|00000000000511015|1
