anio;clave_formulario;clave_de_entidad;tipo_cliente_o_usuario;clasificacion_grado_riesgo;pais_nacionalidad;pais_residencia;entidad_federativa_residencia;act_eco_pld;numero_total_clientes
2025;A1;27034;1;1;157;157;2;0046311;1
2025;A1;27034;1;1;157;157;2;10000036;1
2025;A1;27034;1;1;157;157;2;3051026;1
2025;A1;27034;1;1;157;157;2;3412020;1
2025;A1;27034;1;1;157;157;2;3832012;1
2025;A1;27034;1;1;157;157;2;3900009;1
2025;A1;27034;1;1;157;157;2;4111936;1
2025;A1;27034;1;1;157;157;2;4299013;2
2025;A1;27034;1;1;157;157;2;6111017;1
2025;A1;27034;1;1;157;157;2;6122014;1
2025;A1;27034;1;1;157;157;2;6211023;1
2025;A1;27034;1;1;157;157;2;6815015;2
2025;A1;27034;1;1;157;157;2;7613012;1
2025;A1;27034;1;1;157;157;2;8300006;1
2025;A1;27034;1;1;157;157;2;8424012;1
2025;A1;27034;1;1;157;157;2;8429012;2
2025;A1;27034;1;1;157;157;2;8429020;1
2025;A1;27034;1;1;157;157;2;8619019;1
2025;A1;27034;1;1;157;157;2;9212010;2
2025;A1;27034;1;1;157;157;7;8429012;1
2025;A1;27034;1;1;157;157;9;8429012;1
2025;A1;27034;1;1;157;157;19;8429012;1
2025;A1;27034;1;1;157;157;25;2061034;1
2025;A1;27034;1;1;157;157;25;3051026;1
2025;A1;27034;1;1;157;157;25;4199015;2
2025;A1;27034;1;1;157;157;25;6131023;1
2025;A1;27034;1;1;157;157;25;6132013;1
2025;A1;27034;1;1;157;157;25;6132021;1
2025;A1;27034;1;1;157;157;25;6300008;1
2025;A1;27034;1;1;157;157;25;6815015;1
2025;A1;27034;1;1;157;157;25;7119010;1
2025;A1;27034;1;1;157;157;25;7123011;1
2025;A1;27034;1;1;157;157;25;8300006;1
2025;A1;27034;1;1;157;157;25;8414013;2
2025;A1;27034;1;1;157;157;25;8422016;1
2025;A1;27034;1;1;157;157;25;8429012;5
2025;A1;27034;1;1;157;157;25;8429020;2
2025;A1;27034;1;1;157;157;25;8711021;1
2025;A1;27034;1;1;157;157;25;8900004;1
2025;A1;27034;1;1;157;157;25;8914013;1
2025;A1;27034;1;1;157;157;25;9119018;1
2025;A1;27034;1;1;157;157;25;9129017;1
2025;A1;27034;1;1;157;157;25;9212010;1
2025;A1;27034;1;1;157;157;26;0023899;2
2025;A1;27034;1;1;157;157;26;0046311;1
2025;A1;27034;1;1;157;157;26;0051721;1
2025;A1;27034;1;1;157;157;26;0081121;1
2025;A1;27034;1;1;157;157;26;10000051;1
2025;A1;27034;1;1;157;157;26;111097;1
2025;A1;27034;1;1;157;157;26;1300003;1
2025;A1;27034;1;1;157;157;26;149014;2
2025;A1;27034;1;1;157;157;26;2051019;1
2025;A1;27034;1;1;157;157;26;2093011;1
2025;A1;27034;1;1;157;157;26;2099043;3
2025;A1;27034;1;1;157;157;26;211011;1
2025;A1;27034;1;1;157;157;26;2431021;1
2025;A1;27034;1;1;157;157;26;2612019;1
2025;A1;27034;1;1;157;157;26;3531010;1
2025;A1;27034;1;1;157;157;26;3621027;1
2025;A1;27034;1;1;157;157;26;3799014;1
2025;A1;27034;1;1;157;157;26;3811016;1
2025;A1;27034;1;1;157;157;26;3832012;1
2025;A1;27034;1;1;157;157;26;3900009;1
2025;A1;27034;1;1;157;157;26;4111936;1
2025;A1;27034;1;1;157;157;26;4121018;1
2025;A1;27034;1;1;157;157;26;4222014;3
2025;A1;27034;1;1;157;157;26;4293015;3
