ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|7|6131023|4
2025|A2|12345|1|1|1|157|157|7|8524010|2
2025|A2|12345|1|1|1|157|157|7|8944098|1
2025|A2|12345|1|1|1|157|157|7|8991011|2
2025|A2|12345|1|1|1|157|157|7|9115016|2
2025|A2|12345|1|1|1|157|157|7|9212010|1
2025|A2|12345|1|1|1|157|157|7|9231028|2
2025|A2|12345|1|1|1|157|157|7|9411034|2
2025|A2|12345|1|1|1|157|157|7|9506009|2
2025|A2|12345|1|1|1|157|157|19|100008|4
2025|A2|12345|1|1|1|157|157|19|111021|1
2025|A2|12345|1|1|1|157|157|19|111097|1
2025|A2|12345|1|1|1|157|157|19|111104|4
2025|A2|12345|1|1|1|157|157|19|112029|1
2025|A2|12345|1|1|1|157|157|19|112079|1
2025|A2|12345|1|1|1|157|157|19|112136|1
2025|A2|12345|1|1|1|157|157|19|124040|2
2025|A2|12345|1|1|1|157|157|19|149014|3
2025|A2|12345|1|1|1|157|157|19|149907|1
2025|A2|12345|1|1|1|157|157|19|191023|1
2025|A2|12345|1|1|1|157|157|19|214015|1
2025|A2|12345|1|1|1|157|157|19|221010|2
2025|A2|12345|1|1|1|157|157|19|311019|2
2025|A2|12345|1|1|1|157|157|19|329012|1
2025|A2|12345|1|1|1|157|157|19|391011|2
2025|A2|12345|1|1|1|157|157|19|459025|2
2025|A2|12345|1|1|1|157|157|19|1100007|1
2025|A2|12345|1|1|1|157|157|19|1211028|2
2025|A2|12345|1|1|1|157|157|19|1221019|1
2025|A2|12345|1|1|1|157|157|19|1411016|1
2025|A2|12345|1|1|1|157|157|19|1412014|2
2025|A2|12345|1|1|1|157|157|19|1419010|2
2025|A2|12345|1|1|1|157|157|19|2000008|45
2025|A2|12345|1|1|1|157|157|19|2012029|2
2025|A2|12345|1|1|1|157|157|19|2014017|1
2025|A2|12345|1|1|1|157|157|19|2022010|1
2025|A2|12345|1|1|1|157|157|19|2049014|2
2025|A2|12345|1|1|1|157|157|19|2049030|1
2025|A2|12345|1|1|1|157|157|19|2059013|1
2025|A2|12345|1|1|1|157|157|19|2061026|2
2025|A2|12345|1|1|1|157|157|19|2071017|19
2025|A2|12345|1|1|1|157|157|19|2072023|4
2025|A2|12345|1|1|1|157|157|19|2081016|2
2025|A2|12345|1|1|1|157|157|19|2082014|1
2025|A2|12345|1|1|1|157|157|19|2093011|13
2025|A2|12345|1|1|1|157|157|19|2094019|3
2025|A2|12345|1|1|1|157|157|19|2094027|4
2025|A2|12345|1|1|1|157|157|19|2097013|2
2025|A2|12345|1|1|1|157|157|19|2099019|2
2025|A2|12345|1|1|1|157|157|19|2099043|17
2025|A2|12345|1|1|1|157|157|19|2099051|2
2025|A2|12345|1|1|1|157|157|19|2122018|1
2025|A2|12345|1|1|1|157|157|19|2131027|2
2025|A2|12345|1|1|1|157|157|19|2131035|1
2025|A2|12345|1|1|1|157|157|19|2131043|4
2025|A2|12345|1|1|1|157|157|19|2300002|3
2025|A2|12345|1|1|1|157|157|19|2312015|2
2025|A2|12345|1|1|1|157|157|19|2312023|3
2025|A2|12345|1|1|1|157|157|19|2319011|5
2025|A2|12345|1|1|1|157|157|19|2400000|11
2025|A2|12345|1|1|1|157|157|19|2411015|1
2025|A2|12345|1|1|1|157|157|19|2411023|10
2025|A2|12345|1|1|1|157|157|19|2412013|6
2025|A2|12345|1|1|1|157|157|19|2412039|15
2025|A2|12345|1|1|1|157|157|19|2413011|1
2025|A2|12345|1|1|1|157|157|19|2419019|3
2025|A2|12345|1|1|1|157|157|19|2419069|4
2025|A2|12345|1|1|1|157|157|19|2434017|2
2025|A2|12345|1|1|1|157|157|19|2529016|1
2025|A2|12345|1|1|1|157|157|19|2529082|1
2025|A2|12345|1|1|1|157|157|19|2600006|1
2025|A2|12345|1|1|1|157|157|19|2612019|2
2025|A2|12345|1|1|1|157|157|19|2633023|1
2025|A2|12345|1|1|1|157|157|19|2639039|3
2025|A2|12345|1|1|1|157|157|19|2700004|2
2025|A2|12345|1|1|1|157|157|19|2711019|9
2025|A2|12345|1|1|1|157|157|19|2719013|4
2025|A2|12345|1|1|1|157|157|19|2800002|4
2025|A2|12345|1|1|1|157|157|19|2812015|1
