ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|15|7115018|1
2025|A2|12345|1|1|1|157|157|15|9115016|1
2025|A2|12345|1|1|1|157|157|15|9231028|2
2025|A2|12345|1|1|1|157|157|15|9311044|4
2025|A2|12345|3|1|1|157|157|1|6999108|1
2025|A2|12345|3|1|1|157|157|1|7129019|1
2025|A2|12345|3|1|1|157|157|1|8813017|1
2025|A2|12345|3|1|1|157|157|2|8711021|1
2025|A2|12345|3|1|1|157|157|2|8991011|1
2025|A2|12345|3|1|1|157|157|2|9115016|1
2025|A2|12345|3|1|1|157|157|2|9411018|1
2025|A2|12345|3|1|1|157|157|2|000000|1
2025|A2|12345|3|1|1|157|157|5|8711013|1
2025|A2|12345|3|1|1|157|157|9|232017|1
2025|A2|12345|3|1|1|157|157|9|1211028|3
2025|A2|12345|3|1|1|157|157|9|1329904|1
2025|A2|12345|3|1|1|157|157|9|2031011|1
2025|A2|12345|3|1|1|157|157|9|2049030|1
2025|A2|12345|3|1|1|157|157|9|2052017|1
2025|A2|12345|3|1|1|157|157|9|2071017|3
2025|A2|12345|3|1|1|157|157|9|2094019|1
2025|A2|12345|3|1|1|157|157|9|2100006|3
2025|A2|12345|3|1|1|157|157|9|2131043|1
2025|A2|12345|3|1|1|157|157|9|2317031|1
2025|A2|12345|3|1|1|157|157|9|2322014|1
2025|A2|12345|3|1|1|157|157|9|2411023|1
2025|A2|12345|3|1|1|157|157|9|2911015|1
2025|A2|12345|3|1|1|157|157|9|2921056|1
2025|A2|12345|3|1|1|157|157|9|3051026|2
2025|A2|12345|3|1|1|157|157|9|3062015|1
2025|A2|12345|3|1|1|157|157|9|3200003|1
2025|A2|12345|3|1|1|157|157|9|3223021|1
2025|A2|12345|3|1|1|157|157|9|3229045|2
2025|A2|12345|3|1|1|157|157|9|3322021|1
2025|A2|12345|3|1|1|157|157|9|3591022|2
2025|A2|12345|3|1|1|157|157|9|3599117|1
2025|A2|12345|3|1|1|157|157|9|3621019|1
2025|A2|12345|3|1|1|157|157|9|3697010|2
2025|A2|12345|3|1|1|157|157|9|3699016|1
2025|A2|12345|3|1|1|157|157|9|3699024|1
2025|A2|12345|3|1|1|157|157|9|3700003|1
2025|A2|12345|3|1|1|157|157|9|3729011|1
2025|A2|12345|3|1|1|157|157|9|3731016|2
2025|A2|12345|3|1|1|157|157|9|4111019|2
2025|A2|12345|3|1|1|157|157|9|4111027|5
2025|A2|12345|3|1|1|157|157|9|4113015|1
2025|A2|12345|3|1|1|157|157|9|4121018|1
2025|A2|12345|3|1|1|157|157|9|4199015|1
2025|A2|12345|3|1|1|157|157|9|4200002|2
2025|A2|12345|3|1|1|157|157|9|4291019|1
2025|A2|12345|3|1|1|157|157|9|4299013|1
2025|A2|12345|3|1|1|157|157|9|5111018|1
2025|A2|12345|3|1|1|157|157|9|6112015|1
2025|A2|12345|3|1|1|157|157|9|6131023|6
2025|A2|12345|3|1|1|157|157|9|6132013|2
2025|A2|12345|3|1|1|157|157|9|6136023|1
2025|A2|12345|3|1|1|157|157|9|6139027|1
2025|A2|12345|3|1|1|157|157|9|6200000|1
2025|A2|12345|3|1|1|157|157|9|6211023|8
2025|A2|12345|3|1|1|157|157|9|6212013|4
2025|A2|12345|3|1|1|157|157|9|6215017|1
2025|A2|12345|3|1|1|157|157|9|6223010|2
2025|A2|12345|3|1|1|157|157|9|6225016|2
2025|A2|12345|3|1|1|157|157|9|6227012|1
2025|A2|12345|3|1|1|157|157|9|6231013|2
2025|A2|12345|3|1|1|157|157|9|6231021|4
2025|A2|12345|3|1|1|157|157|9|6232011|3
2025|A2|12345|3|1|1|157|157|9|6233019|2
2025|A2|12345|3|1|1|157|157|9|6311021|1
2025|A2|12345|3|1|1|157|157|9|6311039|2
2025|A2|12345|3|1|1|157|157|9|6314017|1
2025|A2|12345|3|1|1|157|157|9|6325030|1
2025|A2|12345|3|1|1|157|157|9|6326020|1
2025|A2|12345|3|1|1|157|157|9|6400006|1
2025|A2|12345|3|1|1|157|157|9|6411011|3
2025|A2|12345|3|1|1|157|157|9|6412019|2
2025|A2|12345|3|1|1|157|157|9|6512017|1
2025|A2|12345|3|1|1|157|157|9|6513015|2
2025|A2|12345|3|1|1|157|157|9|6619053|1
2025|A2|12345|3|1|1|157|157|9|6626024|1
2025|A2|12345|3|1|1|157|157|9|6628012|1
2025|A2|12345|3|1|1|157|157|9|6699021|2
2025|A2|12345|3|1|1|157|157|9|6714019|1
2025|A2|12345|3|1|1|157|157|9|6721022|2
2025|A2|12345|3|1|1|157|157|9|6721036|1
2025|A2|12345|3|1|1|157|157|9|6729034|1
2025|A2|12345|3|1|1|157|157|9|6732011|1
2025|A2|12345|3|1|1|157|157|9|6811013|3
2025|A2|12345|3|1|1|157|157|9|6813019|1
2025|A2|12345|3|1|1|157|157|9|6819017|1
2025|A2|12345|3|1|1|157|157|9|6911045|3
2025|A2|12345|3|1|1|157|157|9|6993019|1
2025|A2|12345|3|1|1|157|157|9|6999033|1
2025|A2|12345|3|1|1|157|157|9|6999041|1
2025|A2|12345|3|1|1|157|157|9|6999067|1
2025|A2|12345|3|1|1|157|157|9|6999075|1
2025|A2|12345|3|1|1|157|157|9|6999108|4
2025|A2|12345|3|1|1|157|157|9|6999900|5
2025|A2|12345|3|1|1|157|157|9|6999991|1
2025|A2|12345|3|1|1|157|157|9|7113012|14
2025|A2|12345|3|1|1|157|157|9|7114010|2
2025|A2|12345|3|1|1|157|157|9|7115018|3
2025|A2|12345|3|1|1|157|157|9|7119010|1
2025|A2|12345|3|1|1|157|157|9|7129019|8
2025|A2|12345|3|1|1|157|157|9|7129902|3
2025|A2|12345|3|1|1|157|157|9|7212012|2
2025|A2|12345|3|1|1|157|157|9|7412018|1
2025|A2|12345|3|1|1|157|157|9|7500003|1
2025|A2|12345|3|1|1|157|157|9|7512016|3
2025|A2|12345|3|1|1|157|157|9|7611016|3
2025|A2|12345|3|1|1|157|157|9|7613004|2
2025|A2|12345|3|1|1|157|157|9|7613012|4
2025|A2|12345|3|1|1|157|157|9|7613905|2
2025|A2|12345|3|1|1|157|157|9|8100000|1
2025|A2|12345|3|1|1|157|157|9|8113011|2
2025|A2|12345|3|1|1|157|157|9|8123078|1
2025|A2|12345|3|1|1|157|157|9|8133035|1
2025|A2|12345|3|1|1|157|157|9|8141012|1
2025|A2|12345|3|1|1|157|157|9|8151011|3
2025|A2|12345|3|1|1|157|157|9|8151029|1
2025|A2|12345|3|1|1|157|157|9|8211013|1
2025|A2|12345|3|1|1|157|157|9|8219017|2
2025|A2|12345|3|1|1|157|157|9|8219025|1
2025|A2|12345|3|1|1|157|157|9|8219083|2
2025|A2|12345|3|1|1|157|157|9|8219114|1
2025|A2|12345|3|1|1|157|157|9|8311011|3
2025|A2|12345|3|1|1|157|157|9|8312019|2
2025|A2|12345|3|1|1|157|157|9|8400004|1
2025|A2|12345|3|1|1|157|157|9|8412017|3
2025|A2|12345|3|1|1|157|157|9|8413015|2
2025|A2|12345|3|1|1|157|157|9|8414013|1
2025|A2|12345|3|1|1|157|157|9|8415011|1
2025|A2|12345|3|1|1|157|157|9|8419013|1
2025|A2|12345|3|1|1|157|157|9|8421018|8
2025|A2|12345|3|1|1|157|157|9|8422016|6
2025|A2|12345|3|1|1|157|157|9|8424012|6
2025|A2|12345|3|1|1|157|157|9|8425010|1
2025|A2|12345|3|1|1|157|157|9|8426026|1
2025|A2|12345|3|1|1|157|157|9|8428014|1
2025|A2|12345|3|1|1|157|157|9|8429012|2
2025|A2|12345|3|1|1|157|157|9|8429038|5
2025|A2|12345|3|1|1|157|157|9|8511033|1
2025|A2|12345|3|1|1|157|157|9|8521016|1
2025|A2|12345|3|1|1|157|157|9|8522014|1
2025|A2|12345|3|1|1|157|157|9|8523012|1
2025|A2|12345|3|1|1|157|157|9|8611015|1
2025|A2|12345|3|1|1|157|157|9|8700008|1
2025|A2|12345|3|1|1|157|157|9|8711013|1
2025|A2|12345|3|1|1|157|157|9|8711021|5
2025|A2|12345|3|1|1|157|157|9|8712011|12
2025|A2|12345|3|1|1|157|157|9|8721012|1
2025|A2|12345|3|1|1|157|157|9|8722010|1
2025|A2|12345|3|1|1|157|157|9|8800006|1
2025|A2|12345|3|1|1|157|157|9|8821044|1
2025|A2|12345|3|1|1|157|157|9|8825012|1
2025|A2|12345|3|1|1|157|157|9|8827018|1
2025|A2|12345|3|1|1|157|157|9|8832017|1
2025|A2|12345|3|1|1|157|157|9|8911019|3
2025|A2|12345|3|1|1|157|157|9|8914013|1
2025|A2|12345|3|1|1|157|157|9|8919013|1
2025|A2|12345|3|1|1|157|157|9|8929020|1
2025|A2|12345|3|1|1|157|157|9|8933013|3
2025|A2|12345|3|1|1|157|157|9|8934011|1
2025|A2|12345|3|1|1|157|157|9|8935019|4
2025|A2|12345|3|1|1|157|157|9|8941016|2
2025|A2|12345|3|1|1|157|157|9|8944098|2
2025|A2|12345|3|1|1|157|157|9|8949010|1
2025|A2|12345|3|1|1|157|157|9|8949888|3
2025|A2|12345|3|1|1|157|157|9|8991011|38
2025|A2|12345|3|1|1|157|157|9|9112012|14
2025|A2|12345|3|1|1|157|157|9|9113010|2
2025|A2|12345|3|1|1|157|157|9|9115016|18
2025|A2|12345|3|1|1|157|157|9|9119018|10
2025|A2|12345|3|1|1|157|157|9|9121013|1
2025|A2|12345|3|1|1|157|157|9|9211012|15
2025|A2|12345|3|1|1|157|157|9|9212010|1
2025|A2|12345|3|1|1|157|157|9|9213018|8
2025|A2|12345|3|1|1|157|157|9|9214016|2
2025|A2|12345|3|1|1|157|157|9|9219016|1
2025|A2|12345|3|1|1|157|157|9|9231028|3
2025|A2|12345|3|1|1|157|157|9|9311010|2
2025|A2|12345|3|1|1|157|157|9|9331018|1
2025|A2|12345|3|1|1|157|157|9|9411018|20
2025|A2|12345|3|1|1|157|157|9|9411026|7
2025|A2|12345|3|1|1|157|157|9|9411034|7
2025|A2|12345|3|1|1|157|157|9|9411998|2
2025|A2|12345|3|1|1|157|157|9|9471012|3
2025|A2|12345|3|1|1|157|157|9|9506009|74
2025|A2|12345|3|1|1|157|157|9|9911018|1
2025|A2|12345|3|1|1|157|157|9|9919012|1
2025|A2|12345|3|1|1|157|157|9|9999999|36
2025|A2|12345|3|1|1|157|157|9|000000|87
2025|A2|12345|3|1|1|157|157|11|2091015|1
2025|A2|12345|3|1|1|157|157|11|2094027|1
2025|A2|12345|3|1|1|157|157|11|3699024|1
2025|A2|12345|3|1|1|157|157|11|3819010|1
2025|A2|12345|3|1|1|157|157|11|6513015|1
2025|A2|12345|3|1|1|157|157|11|7112014|1
2025|A2|12345|3|1|1|157|157|11|7500003|1
2025|A2|12345|3|1|1|157|157|11|8413015|1
2025|A2|12345|3|1|1|157|157|11|8427016|1
2025|A2|12345|3|1|1|157|157|11|8712011|1
2025|A2|12345|3|1|1|157|157|11|8933013|1
2025|A2|12345|3|1|1|157|157|11|8991011|3
2025|A2|12345|3|1|1|157|157|11|9122011|1
2025|A2|12345|3|1|1|157|157|11|9999999|1
2025|A2|12345|3|1|1|157|157|11|000000|4
2025|A2|12345|3|1|1|157|157|12|9212010|1
2025|A2|12345|3|1|1|157|157|12|9506009|2
2025|A2|12345|3|1|1|157|157|12|000000|1
2025|A2|12345|3|1|1|157|157|13|1211028|1
2025|A2|12345|3|1|1|157|157|13|2131043|1
2025|A2|12345|3|1|1|157|157|13|3111010|1
2025|A2|12345|3|1|1|157|157|13|6300008|1
2025|A2|12345|3|1|1|157|157|13|6419015|1
2025|A2|12345|3|1|1|157|157|13|6699021|1
2025|A2|12345|3|1|1|157|157|13|6999108|1
2025|A2|12345|3|1|1|157|157|13|7112014|1
2025|A2|12345|3|1|1|157|157|13|7129019|1
2025|A2|12345|3|1|1|157|157|13|8219017|1
2025|A2|12345|3|1|1|157|157|13|8949888|1
2025|A2|12345|3|1|1|157|157|13|8991011|6
2025|A2|12345|3|1|1|157|157|13|9119018|2
2025|A2|12345|3|1|1|157|157|13|9411026|1
2025|A2|12345|3|1|1|157|157|13|9411034|3
2025|A2|12345|3|1|1|157|157|13|9411998|1
2025|A2|12345|3|1|1|157|157|13|9506009|3
2025|A2|12345|3|1|1|157|157|13|000000|4
2025|A2|12345|3|1|1|157|157|14|8991011|1
2025|A2|12345|3|1|1|157|157|15|100008|2
2025|A2|12345|3|1|1|157|157|15|111013|7
2025|A2|12345|3|1|1|157|157|15|111063|27
