anio|clave_del_formulario|clave_de_entidad|producto_servicio|tipo_cliente_o_usuario|tipo_moneda|tipo_instrumento_monetario|pais_origen_envio_de_los_recursos|entidad_federativa|operacion_entrada_salida|numero_operaciones_entrada_salida|monto_de_operaciones_de_entrada_Salida
2025|C|12345|1|5|1|1|157|5|1|106|31827
2025|C|12345|1|15|1|8|157|5|1|3|107924
2025|C|12345|1|15|1|1|157|5|2|13|28300
2025|C|12345|1|1|1|1|157|5|1|25619|16977155
2025|C|12345|1|5|1|1|157|5|2|12|20400
2025|C|12345|1|15|1|1|157|5|1|116|194582
2025|C|12345|1|15|1|8|157|5|2|54|4262
2025|C|12345|1|3|1|1|157|5|1|71|55326
2025|C|12345|1|1|1|8|157|5|1|507|2727715
2025|C|12345|1|5|1|2|157|5|2|1|1900
2025|C|12345|1|3|1|8|157|5|2|9|98
2025|C|12345|1|3|1|2|157|5|2|1|15000
2025|C|12345|1|5|1|8|157|5|1|1|1000
2025|C|12345|1|1|1|1|157|5|2|3255|5848202
2025|C|12345|1|1|1|2|157|5|1|62|472058
2025|C|12345|1|1|1|2|157|5|2|734|9946371
2025|C|12345|1|5|1|8|157|5|2|57|2331
2025|C|12345|1|3|1|1|157|5|2|4|16000
2025|C|12345|1|15|1|2|157|5|1|1|15600
2025|C|12345|1|1|1|8|157|5|2|13782|2097190
2025|C|12345|1|15|1|2|157|5|2|4|133000
2025|C|12345|2|1|1|2|157|5|2|42|4001763
2025|C|12345|2|1|1|8|157|5|2|2193|149527219
2025|C|12345|2|1|1|1|157|5|1|90|1012680
2025|C|12345|2|1|1|2|157|5|1|33|2954082
2025|C|12345|2|15|1|8|157|5|2|17|682232
2025|C|12345|2|15|1|8|157|5|1|16|575311
2025|C|12345|2|3|1|8|157|5|2|52|534166
2025|C|12345|2|3|1|8|157|5|1|52|534166
2025|C|12345|2|1|1|8|157|5|1|2184|150292004
2025|C|12345|3|15|1|1|157|5|1|242|214255
2025|C|12345|3|3|1|8|157|5|2|446|30588
2025|C|12345|3|1|1|8|157|5|2|112408|10691545
2025|C|12345|3|1|1|2|157|5|2|835|14070668
2025|C|12345|3|5|1|1|157|5|1|127|38668
2025|C|12345|3|3|1|1|157|5|2|9|20500
2025|C|12345|3|1|1|1|157|5|2|2554|5274324
2025|C|12345|3|1|1|8|157|5|1|5838|2086227
2025|C|12345|3|15|1|8|157|5|2|622|43535
2025|C|12345|3|5|1|8|157|5|2|345|35084
2025|C|12345|3|15|1|1|157|5|2|12|26600
2025|C|12345|3|1|1|1|157|5|1|45383|33368608
2025|C|12345|3|5|1|2|157|5|2|1|8100
2025|C|12345|3|15|1|2|157|5|2|6|105000
2025|C|12345|3|15|1|8|157|5|1|31|4340
2025|C|12345|3|5|1|8|157|5|1|13|1820
2025|C|12345|3|3|1|1|157|5|1|157|162478
2025|C|12345|3|3|1|2|157|5|2|5|65500
2025|C|12345|3|3|1|8|157|5|1|27|3390
2025|C|12345|3|5|1|2|157|5|1|1|3500
2025|C|12345|3|1|1|2|157|5|1|33|97697
2025|C|12345|10|3|1|2|157|5|1|1|22500
2025|C|12345|10|1|1|2|157|5|2|5460|37626577
2025|C|12345|10|5|1|8|157|5|1|58|15375
2025|C|12345|10|15|1|2|157|5|1|6|18090
2025|C|12345|10|5|1|2|157|5|1|3|37757
2025|C|12345|10|1|1|2|157|5|1|1719|5868924
2025|C|12345|10|5|1|8|157|5|2|1|1000
2025|C|12345|10|15|1|8|157|5|1|54|4262
2025|C|12345|10|1|1|8|157|5|1|14175|2473475
2025|C|12345|10|5|1|1|157|5|1|171|192295
2025|C|12345|10|5|1|2|157|5|2|21|239100
2025|C|12345|10|3|1|1|157|5|1|26|48132
2025|C|12345|10|1|1|8|157|5|2|292|1192015
2025|C|12345|10|3|1|2|157|5|2|1|45500
2025|C|12345|10|3|1|8|157|5|1|9|98
2025|C|12345|10|15|1|1|157|5|1|192|227907
2025|C|12345|10|15|1|2|157|5|2|21|145200
2025|C|12345|10|1|1|1|157|5|1|49036|36745960
