ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|7|111013|2
2025|A2|12345|1|1|1|157|157|7|111039|2
2025|A2|12345|1|1|1|157|157|7|111047|5
2025|A2|12345|1|1|1|157|157|7|111063|30
2025|A2|12345|1|1|1|157|157|7|111089|6
2025|A2|12345|1|1|1|157|157|7|111104|4
2025|A2|12345|1|1|1|157|157|7|112045|3
2025|A2|12345|1|1|1|157|157|7|112053|1
2025|A2|12345|1|1|1|157|157|7|112128|4
2025|A2|12345|1|1|1|157|157|7|113019|1
2025|A2|12345|1|1|1|157|157|7|121012|2
2025|A2|12345|1|1|1|157|157|7|124040|24
2025|A2|12345|1|1|1|157|157|7|129016|2
2025|A2|12345|1|1|1|157|157|7|129024|4
2025|A2|12345|1|1|1|157|157|7|129032|2
2025|A2|12345|1|1|1|157|157|7|131011|4
2025|A2|12345|1|1|1|157|157|7|142084|4
2025|A2|12345|1|1|1|157|157|7|149014|6
2025|A2|12345|1|1|1|157|157|7|149907|15
2025|A2|12345|1|1|1|157|157|7|149915|1
2025|A2|12345|1|1|1|157|157|7|191015|2
2025|A2|12345|1|1|1|157|157|7|211011|29
2025|A2|12345|1|1|1|157|157|7|212019|13
2025|A2|12345|1|1|1|157|157|7|214015|4
2025|A2|12345|1|1|1|157|157|7|219015|10
2025|A2|12345|1|1|1|157|157|7|219908|4
2025|A2|12345|1|1|1|157|157|7|221010|3
2025|A2|12345|1|1|1|157|157|7|222018|5
2025|A2|12345|1|1|1|157|157|7|223016|3
2025|A2|12345|1|1|1|157|157|7|231019|1
2025|A2|12345|1|1|1|157|157|7|232017|6
2025|A2|12345|1|1|1|157|157|7|259011|7
2025|A2|12345|1|1|1|157|157|7|311019|8
2025|A2|12345|1|1|1|157|157|7|313015|37
2025|A2|12345|1|1|1|157|157|7|329905|1
2025|A2|12345|1|1|1|157|157|7|511015|1
2025|A2|12345|1|1|1|157|157|7|1111012|59
2025|A2|12345|1|1|1|157|157|7|1211010|1
2025|A2|12345|1|1|1|157|157|7|1211028|9
2025|A2|12345|1|1|1|157|157|7|1211903|1
2025|A2|12345|1|1|1|157|157|7|1311018|2
2025|A2|12345|1|1|1|157|157|7|1329904|5
2025|A2|12345|1|1|1|157|157|7|1411016|1
2025|A2|12345|1|1|1|157|157|7|1413012|2
2025|A2|12345|1|1|1|157|157|7|1419010|3
2025|A2|12345|1|1|1|157|157|7|1439018|1
2025|A2|12345|1|1|1|157|157|7|2011013|1
2025|A2|12345|1|1|1|157|157|7|2012011|7
2025|A2|12345|1|1|1|157|157|7|2012029|2
2025|A2|12345|1|1|1|157|157|7|2012037|2
2025|A2|12345|1|1|1|157|157|7|2012045|1
2025|A2|12345|1|1|1|157|157|7|2013019|1
2025|A2|12345|1|1|1|157|157|7|2013027|1
2025|A2|12345|1|1|1|157|157|7|2029024|5
2025|A2|12345|1|1|1|157|157|7|2029032|2
2025|A2|12345|1|1|1|157|157|7|2041010|1
2025|A2|12345|1|1|1|157|157|7|2049014|8
2025|A2|12345|1|1|1|157|157|7|2049022|10
2025|A2|12345|1|1|1|157|157|7|2049030|3
2025|A2|12345|1|1|1|157|157|7|2051019|1
2025|A2|12345|1|1|1|157|157|7|2051027|8
2025|A2|12345|1|1|1|157|157|7|2052017|2
2025|A2|12345|1|1|1|157|157|7|2061018|1
2025|A2|12345|1|1|1|157|157|7|2071017|39
